Datum,Text,Ort,Lat,Lon,Jahr,Arrondissement,Quartier,PLZ,geometry,Lat_jitter,Lon_jitter
2024-07-11,"Le 11 juillet 2024, vers 23h, un homme de 29 ans connu des services de police est abattu par balle dans la cité de la Belle de Mai, dans le 3e arrondissement de Marseille[22].",belle de mai,43.312173,5.385983,2024,Marseille 3e Arrondissemen,BELLE DE MAI,13003,POINT (5.385802342232758 43.31220875205647),43.31220875205647,5.385802342232758
2024-07-17,"Le 17 juillet 2024, le corps d'un jeune homme âgé de 17 ans originaire de Toulon connu pour trafic de stupéfiants -est découvert dans le coffre d'une voiture calcinée à la Belle de Mai dans le 3e arrondissement de Marseille. L'homme est mort d'une balle dans la tête[21].",belle de mai,43.312173,5.385983,2024,Marseille 3e Arrondissemen,BELLE DE MAI,13003,POINT (5.386007620543343 43.312183523743066),43.312183523743066,5.386007620543343
2024-07-25,"Le 25 juillet 2024, le corps d'un jeune homme âgé de 18 ans est découvert dans un canal à Saint-Martin-de-Crau. Il aurait été enlevé à la gare Saint-Charles de Marseille fin juin et séquestré durant plusieurs jours avant d'être assassiné[20].",Saint-Martin-de-Crau.,43.636587,4.808099,2024,,,,POINT (4.808099 43.636587),43.636587,4.808099
2024-07-29,"Le 29 juillet 2024, vers 6h, un homme âgé d'une vingtaine d'années et connu des services de police est retrouvé gisant dans un terrain vague près de la cité de Bleuets, dans le 13e arrondissement de Marseille[19].",cité des bleuets,43.327525,5.405292,2024,Marseille 13e Arrondissemen,SAINT JUST,13013,POINT (5.405292 43.327525),43.327525,5.405292
2024-08-22,"Le 22 août 2024, vers 23h30, le gérant d'un bar à chicha du quartier d'Arenc dans le 2e arrondissement de Marseille, âgé de 42 ans et connu des services de police, est abattu au fusil d'assaut devant son établissement. Un homme âgé de 37 ans est également blessé au pied[18].",arenc,43.329685,5.358276,2024,Marseille 2e Arrondissemen,ARENC,13002,POINT (5.358276 43.329685),43.329685,5.358276
2024-09-18,"Le 18 septembre 2024, vers 20h30, un homme âgé de 20 ans est abattu dans le quartier de la Cayolle, dans le 9e arrondissement de Marseille. Un adolescent de 16 ans est également blessé dans la fusillade[17].",La Cayolle,43.230073,5.402851,2024,Marseille 9e Arrondissemen,SORMIOU,13009,POINT (5.403034552865856 43.229953831948286),43.229953831948286,5.403034552865856
2024-09-20,"Le 20 septembre 2024, vers 22h45, un homme âgé de 17 ans meurt dans le quartier de la Belle de Mai dans le 3e arrondissement de Marseille à la suite de multiples impacts de balles reçus aux jambes et au thorax. Un deuxième individu de 26 ans est blessé d'une balle dans l'épaule.",belle de mai,43.312173,5.385983,2024,Marseille 3e Arrondissemen,BELLE DE MAI,13003,POINT (5.386035639160044 43.312012305218815),43.312012305218815,5.386035639160044
2024-09-28,"Le 28 septembre 2024, vers 23h, une fusillade éclate dans un local associatif de la cité des Iris dans le 14e arrondissement de Marseille. Deux hommes sont tués et quatre autres sont grièvement blessés[16].",les iris,43.331871,5.402931,2024,Marseille 14e Arrondissemen,SAINT BARTHELEMY,13014,POINT (5.402803075999149 43.33191975236624),43.33191975236624,5.402803075999149
2024-10-02,"Le 2 octobre 2024, vers 3h30, le corps calciné d'un adolescent âgé de 15 ans est découvert dans le quartier de la Villette, dans le 3e arrondissement de Marseille. Il aurait été poignardé de plusieurs coups de couteaux avant d’être brûlé vif[15].",la villette,43.314158,5.372859,2024,Marseille 3e Arrondissemen,LA VILETTE,13003,POINT (5.37299952142937 43.314049151215116),43.314049151215116,5.37299952142937
2024-10-04,"Le 4 octobre 2024, vers 4h30, un homme âgé de 30 ans est tué d'une balle dans la tête alors qu'il est au volant de sa voiture dans le quartier de Saint-Lazare, dans le 3e arrondissement de Marseille. L'assassinat aurait été commis pour venger celui réalisé deux jours plus tôt. Le passager, un jeune âgé de 14 ans, recruté comme tueur à gages par la DZ Mafia, serait le coupable[14].",saint lazar,43.309022,5.378522,2024,Marseille 3e Arrondissemen,SAINT LAZARE,13003,POINT (5.378522 43.309022),43.309022,5.378522
2024-11-09,"Le 9 novembre 2024, vers 21h30, un homme âgé de 21 ans et connu des services de police meurt à la suite d'une fusillade dans le quartier Notre-Dame des Marins à Martigues. Un autre homme est blessé par balle[13].",quartier Notre-Dame des Marins à Martigues,43.412608,5.048296,2024,,,,POINT (5.048296 43.412608),43.412608,5.048296
2024-11-14,"Le 14 novembre 2024, deux hommes âgés de 28 ans connus pour trafic de stupéfiants sont abattus par balle dans un bar du 14e arrondissement de Marseille. Un troisième homme est blessé. D'après le Sirasco, la fusillade pourrait être liée à la guerre des gangs entre la DZ Mafia et le clan des « Blacks » [12].","Marseille, 14e",43.539971,5.442523,2024,Marseille 14e Arrondissemen,,13014,POINT (5.4424212634687095 43.53995298917462),43.53995298917462,5.4424212634687095
2024-12-17,"Le 17 décembre 2024, peu avant minuit, un jeune homme âgé de 20 ans a été tué par balle à Aix-en-Provence près de l'avenue Philippe-Solari[11].","Aix-en-Provece, av Philippe-Solari",43.540072,5.442684,2024,,,,POINT (5.442684 43.540072),43.540072,5.442684
2025-02-02,"Le 2 février vers 23h30, un homme de 19 ans est abattu à la kalachnikov à la Cayolle dans le 9e arrondissement de Marseille[10].  ",La Cayolle,43.230073,5.402851,2025,Marseille 9e Arrondissemen,SORMIOU,13009,POINT (5.402951804818745 43.23006324992623),43.23006324992623,5.402951804818745
2025-02-04,"Le 4 février, André Cermolacce, figure du banditisme marseillais, surnommé « Gros Dédé » ou « Sacoche », est abattu de trois balles dans la tête par un homme se déplaçant en trotinette. Les faits se sont produits en fin de matinée au siège de la société du septuagénaire dans le 14e arrondissement de Marseille[9].","Marseille, 14e",43.539971,5.442523,2025,Marseille 14e Arrondissemen,,13014,POINT (5.442481487327054 43.53984544955852),43.53984544955852,5.442481487327054
2025-02-23,"Le 23 février, vers 3h45, un homme de 34 ans originaire de Marseille est abattu à la kalachnikov dans sa voiture, devant son domicile de La Ciotat par trois hommes arrivés dans un utilitaire qui sera retrouvé en feu sur une route départementale entre La Ciotat et Cassis[8] peu après.",Route La Ciotat et Cassis,43.196998,5.593216,2025,,,,POINT (5.593216 43.196998),43.196998,5.593216
2025-05-13,"Le 13 mai, dans la soirée, un homme d'une vingtaine d'année est abattu par balles dans le quartier de la Belle-de-Mai, à proximité d'un arrêt de bus. Il était connu des servics de police pour plusieurs infractions[7].",belle de mai,43.312173,5.385983,2025,Marseille 3e Arrondissemen,BELLE DE MAI,13003,POINT (5.386070959789103 43.312096691642964),43.312096691642964,5.386070959789103
2025-05-28," 28 mai, un mineur est tué et deux autres personnes blessées lors d'une fusillade dans la cité des Rosiers devant un point de deal[6]. - Le 13 mai, dans la soirée, un homme d'une vingtaine d'année est abattu par balles dans le quartier de la Belle-de-Mai, à proximité d'un arrêt de bus. Il était connu des servics de police pour plusieurs infractions[7].",cité des rosier,43.322226,5.387397,2025,Marseille 14e Arrondissemen,BON SECOURS,13014,POINT (5.387317494078122 43.322153958395575),43.322153958395575,5.387317494078122
